,TodayID,ID,today,weather,temp,dust
113,Today114,dummy86,2022-06-11 09:00:00,rain,22.6,114.8
114,Today115,dummy40,2022-06-09 14:00:00,rain,25.4,74.0
115,Today116,dummy76,2022-06-09 19:00:00,cloud,18.4,12.8
116,Today117,dummy41,2022-06-08 20:00:00,rain,28.2,101.4
117,Today118,dummy92,2022-06-10 21:00:00,fog,19.0,24.8
118,Today119,dummy86,2022-06-09 10:00:00,rain,26.6,131.5
119,Today120,dummy9,2022-06-10 20:00:00,fog,29.8,12.1
120,Today121,dummy58,2022-06-09 04:00:00,fog,20.7,62.8
121,Today122,dummy71,2022-06-09 07:00:00,rain,16.7,141.2
122,Today123,dummy59,2022-06-11 09:00:00,fog,16.1,92.6
123,Today124,dummy26,2022-06-09 22:00:00,cloud,18.9,17.9
124,Today125,dummy8,2022-06-10 01:00:00,fog,28.1,4.7
125,Today126,dummy82,2022-06-08 10:00:00,rain,18.3,134.3
126,Today127,dummy75,2022-06-08 12:00:00,rain,17.1,18.4
127,Today128,dummy43,2022-06-08 18:00:00,cloud,15.5,24.1
128,Today129,dummy7,2022-06-11 00:00:00,fog,18.7,12.6
129,Today130,dummy40,2022-06-11 15:00:00,fog,23.0,46.8
130,Today131,dummy76,2022-06-08 21:00:00,fog,17.1,92.6
131,Today132,dummy13,2022-06-09 06:00:00,fog,22.0,76.0
132,Today133,dummy2,2022-06-11 14:00:00,fog,24.1,85.6
133,Today134,dummy40,2022-06-09 00:00:00,fog,20.9,97.9
134,Today135,dummy49,2022-06-09 21:00:00,sun,25.4,35.3
135,Today136,dummy44,2022-06-11 09:00:00,sun,25.9,124.3
136,Today137,dummy15,2022-06-10 13:00:00,cloud,21.8,77.4
137,Today138,dummy13,2022-06-09 02:00:00,rain,20.0,49.3
138,Today139,dummy17,2022-06-12 00:00:00,sun,23.5,103.1
139,Today140,dummy27,2022-06-11 02:00:00,cloud,23.0,99.9
140,Today141,dummy24,2022-06-11 22:00:00,cloud,19.1,53.2
141,Today142,dummy2,2022-06-10 21:00:00,cloud,27.9,90.2
142,Today143,dummy96,2022-06-11 05:00:00,fog,29.2,5.9
143,Today144,dummy17,2022-06-11 00:00:00,sun,16.4,12.6
144,Today145,dummy23,2022-06-08 19:00:00,sun,20.6,80.4
145,Today146,dummy54,2022-06-09 20:00:00,sun,18.3,12.6
146,Today147,dummy88,2022-06-11 09:00:00,rain,20.7,11.4
147,Today148,dummy75,2022-06-10 08:00:00,sun,20.3,99.7
148,Today149,dummy77,2022-06-08 01:00:00,rain,21.4,111.6
149,Today150,dummy11,2022-06-11 14:00:00,rain,25.0,81.1
150,Today151,dummy73,2022-06-10 04:00:00,cloud,24.9,59.2
151,Today152,dummy100,2022-06-10 09:00:00,fog,20.6,54.1
152,Today153,dummy15,2022-06-09 14:00:00,sun,16.1,59.8
153,Today154,dummy44,2022-06-08 18:00:00,cloud,26.0,59.9
154,Today155,dummy20,2022-06-08 14:00:00,rain,23.0,147.7
155,Today156,dummy11,2022-06-11 05:00:00,sun,18.8,56.5
156,Today157,dummy29,2022-06-09 23:00:00,cloud,24.8,48.7
157,Today158,dummy63,2022-06-08 21:00:00,sun,16.8,33.3
158,Today159,dummy79,2022-06-10 03:00:00,rain,23.7,128.5
159,Today160,dummy52,2022-06-11 08:00:00,cloud,29.7,89.1
160,Today161,dummy97,2022-06-09 04:00:00,sun,15.3,109.5
161,Today162,dummy69,2022-06-10 20:00:00,sun,27.5,134.3
162,Today163,dummy41,2022-06-10 17:00:00,cloud,29.1,1.8
163,Today164,dummy44,2022-06-09 08:00:00,rain,27.3,117.9
164,Today165,dummy6,2022-06-11 00:00:00,rain,16.5,22.5
165,Today166,dummy4,2022-06-11 09:00:00,sun,28.5,146.3
166,Today167,dummy96,2022-06-11 05:00:00,rain,20.5,38.0
167,Today168,dummy91,2022-06-09 17:00:00,cloud,27.9,112.7
168,Today169,dummy35,2022-06-09 10:00:00,rain,22.2,121.6
169,Today170,dummy32,2022-06-08 11:00:00,cloud,18.2,123.1
170,Today171,dummy32,2022-06-08 12:00:00,sun,24.1,36.3
171,Today172,dummy53,2022-06-09 03:00:00,fog,20.8,75.0
172,Today173,dummy49,2022-06-10 22:00:00,cloud,26.1,57.5
173,Today174,dummy82,2022-06-10 20:00:00,sun,29.2,17.5
174,Today175,dummy31,2022-06-08 21:00:00,cloud,20.0,128.4
175,Today176,dummy19,2022-06-11 10:00:00,cloud,19.5,43.4
176,Today177,dummy9,2022-06-09 00:00:00,fog,16.6,36.5
177,Today178,dummy99,2022-06-08 23:00:00,cloud,16.0,86.2
178,Today179,dummy50,2022-06-08 20:00:00,cloud,20.2,4.6
179,Today180,dummy39,2022-06-11 22:00:00,sun,29.7,50.1
180,Today181,dummy42,2022-06-08 15:00:00,fog,23.4,17.5
181,Today182,dummy56,2022-06-09 08:00:00,fog,20.9,59.4
182,Today183,dummy35,2022-06-12 00:00:00,rain,23.4,103.3
183,Today184,dummy68,2022-06-11 00:00:00,fog,29.8,95.4
184,Today185,dummy54,2022-06-11 06:00:00,cloud,28.1,46.5
185,Today186,dummy4,2022-06-11 14:00:00,rain,22.8,87.9
186,Today187,dummy43,2022-06-10 16:00:00,fog,26.5,86.1
187,Today188,dummy5,2022-06-09 17:00:00,rain,17.6,5.5
188,Today189,dummy29,2022-06-08 05:00:00,rain,27.8,28.4
189,Today190,dummy4,2022-06-10 06:00:00,sun,17.4,44.1
190,Today191,dummy12,2022-06-10 02:00:00,cloud,17.9,5.9
191,Today192,dummy33,2022-06-09 11:00:00,sun,26.5,117.6
192,Today193,dummy79,2022-06-09 00:00:00,sun,25.2,51.8
193,Today194,dummy49,2022-06-09 09:00:00,sun,28.0,62.2
194,Today195,dummy91,2022-06-11 19:00:00,rain,19.7,23.2
195,Today196,dummy17,2022-06-09 22:00:00,rain,18.9,14.7
196,Today197,dummy54,2022-06-08 21:00:00,cloud,24.5,108.6
197,Today198,dummy48,2022-06-11 23:00:00,sun,24.0,23.2
198,Today199,dummy44,2022-06-11 22:00:00,sun,26.4,93.3
199,Today200,dummy81,2022-06-10 17:00:00,cloud,19.5,125.9
200,Today201,dummy25,2022-06-10 06:00:00,fog,21.5,43.0
201,Today202,dummy99,2022-06-11 12:00:00,fog,29.1,59.0
202,Today203,dummy90,2022-06-09 15:00:00,rain,19.7,12.3
203,Today204,dummy95,2022-06-11 07:00:00,fog,22.8,58.4
204,Today205,dummy12,2022-06-11 15:00:00,sun,15.1,51.8
205,Today206,dummy97,2022-06-09 11:00:00,rain,19.9,129.2
206,Today207,dummy57,2022-06-11 01:00:00,cloud,24.4,119.7
207,Today208,dummy52,2022-06-08 00:00:00,rain,16.3,91.6
208,Today209,dummy100,2022-06-10 17:00:00,fog,28.7,62.6
209,Today210,dummy64,2022-06-10 11:00:00,rain,25.3,65.9
210,Today211,dummy47,2022-06-08 15:00:00,fog,21.2,129.0
211,Today212,dummy57,2022-06-10 04:00:00,sun,23.2,130.8
212,Today213,dummy90,2022-06-09 11:00:00,cloud,26.5,85.1
213,Today214,dummy48,2022-06-11 09:00:00,rain,27.1,127.7
214,Today215,dummy47,2022-06-08 05:00:00,cloud,28.9,14.4
215,Today216,dummy72,2022-06-10 14:00:00,cloud,15.0,41.1
216,Today217,dummy3,2022-06-11 11:00:00,fog,15.5,45.4
217,Today218,dummy28,2022-06-08 13:00:00,rain,15.7,87.3
218,Today219,dummy5,2022-06-09 12:00:00,fog,17.9,33.0
219,Today220,dummy75,2022-06-08 23:00:00,fog,21.3,118.0
220,Today221,dummy9,2022-06-10 18:00:00,cloud,23.9,107.9
221,Today222,dummy44,2022-06-11 22:00:00,cloud,16.7,47.8
222,Today223,dummy93,2022-06-08 09:00:00,rain,17.4,88.6
223,Today224,dummy27,2022-06-11 02:00:00,sun,17.9,107.4
224,Today225,dummy60,2022-06-11 04:00:00,sun,26.0,126.1
225,Today226,dummy3,2022-06-11 04:00:00,rain,24.5,118.8
226,Today227,dummy47,2022-06-09 21:00:00,sun,26.2,95.3
227,Today228,dummy70,2022-06-11 03:00:00,fog,19.4,32.8
228,Today229,dummy76,2022-06-11 09:00:00,rain,26.5,79.3
229,Today230,dummy63,2022-06-09 23:00:00,fog,19.2,137.7
230,Today231,dummy17,2022-06-09 20:00:00,fog,29.8,30.0
231,Today232,dummy77,2022-06-09 08:00:00,cloud,15.2,138.8
232,Today233,dummy8,2022-06-10 10:00:00,cloud,26.0,86.7
233,Today234,dummy74,2022-06-08 14:00:00,rain,21.0,101.1
234,Today235,dummy23,2022-06-09 03:00:00,rain,15.7,38.5
235,Today236,dummy79,2022-06-08 12:00:00,cloud,25.6,128.6
236,Today237,dummy58,2022-06-09 13:00:00,fog,27.9,131.2
237,Today238,dummy43,2022-06-10 00:00:00,rain,17.9,44.2
238,Today239,dummy37,2022-06-11 09:00:00,fog,21.6,137.5
239,Today240,dummy37,2022-06-09 21:00:00,sun,18.6,44.5
240,Today241,dummy39,2022-06-09 21:00:00,fog,19.4,92.9
241,Today242,dummy23,2022-06-08 18:00:00,sun,28.3,100.9
242,Today243,dummy13,2022-06-10 02:00:00,cloud,19.3,100.3
243,Today244,dummy99,2022-06-11 16:00:00,rain,21.5,69.9
244,Today245,dummy29,2022-06-10 19:00:00,sun,25.4,18.8
245,Today246,dummy3,2022-06-09 15:00:00,fog,23.0,28.7
246,Today247,dummy58,2022-06-08 13:00:00,fog,18.0,15.6
247,Today248,dummy95,2022-06-10 07:00:00,fog,19.6,119.2
248,Today249,dummy39,2022-06-10 11:00:00,rain,23.0,142.4
249,Today250,dummy15,2022-06-09 12:00:00,cloud,29.1,42.3
250,Today251,dummy45,2022-06-09 04:00:00,fog,29.4,7.3
251,Today252,dummy76,2022-06-08 03:00:00,cloud,16.9,16.9
252,Today253,dummy44,2022-06-11 01:00:00,cloud,28.2,64.1
253,Today254,dummy12,2022-06-11 19:00:00,rain,23.0,121.9
254,Today255,dummy12,2022-06-08 10:00:00,fog,15.2,97.2
255,Today256,dummy47,2022-06-10 19:00:00,rain,29.0,132.7
256,Today257,dummy56,2022-06-09 02:00:00,fog,29.6,67.2
257,Today258,dummy56,2022-06-09 23:00:00,cloud,20.9,39.2
258,Today259,dummy64,2022-06-10 23:00:00,rain,25.6,105.5
259,Today260,dummy42,2022-06-10 21:00:00,fog,25.5,36.5
260,Today261,dummy11,2022-06-08 20:00:00,sun,18.9,70.6
261,Today262,dummy61,2022-06-10 04:00:00,rain,27.3,123.1
262,Today263,dummy94,2022-06-08 13:00:00,cloud,29.2,63.5
263,Today264,dummy87,2022-06-09 18:00:00,sun,29.9,70.1
264,Today265,dummy1,2022-06-10 20:00:00,sun,20.5,79.1
265,Today266,dummy37,2022-06-10 04:00:00,cloud,28.3,46.9
266,Today267,dummy22,2022-06-10 23:00:00,cloud,19.0,25.5
267,Today268,dummy69,2022-06-11 12:00:00,sun,23.9,0.8
268,Today269,dummy76,2022-06-09 17:00:00,cloud,24.8,28.8
269,Today270,dummy55,2022-06-10 23:00:00,sun,28.7,80.1
270,Today271,dummy94,2022-06-11 22:00:00,cloud,18.2,104.0
271,Today272,dummy84,2022-06-08 14:00:00,fog,17.0,124.6
272,Today273,dummy97,2022-06-08 18:00:00,fog,24.1,85.6
273,Today274,dummy19,2022-06-10 02:00:00,rain,28.5,38.0
274,Today275,dummy52,2022-06-10 11:00:00,rain,24.8,108.5
275,Today276,dummy39,2022-06-10 10:00:00,rain,17.7,19.0
276,Today277,dummy5,2022-06-10 23:00:00,cloud,21.4,95.5
277,Today278,dummy36,2022-06-11 15:00:00,sun,28.2,138.6
278,Today279,dummy60,2022-06-11 07:00:00,fog,28.6,71.2
279,Today280,dummy86,2022-06-08 12:00:00,sun,26.2,93.4
280,Today281,dummy12,2022-06-10 10:00:00,rain,24.6,84.3
281,Today282,dummy4,2022-06-09 00:00:00,rain,18.0,92.0
282,Today283,dummy81,2022-06-09 15:00:00,fog,18.2,19.4
283,Today284,dummy97,2022-06-11 08:00:00,rain,20.9,91.0
284,Today285,dummy56,2022-06-08 22:00:00,rain,24.4,21.4
285,Today286,dummy43,2022-06-10 03:00:00,rain,23.9,83.8
286,Today287,dummy21,2022-06-11 19:00:00,sun,28.7,78.2
287,Today288,dummy41,2022-06-08 11:00:00,rain,24.2,131.4
288,Today289,dummy17,2022-06-08 23:00:00,cloud,18.1,79.9
289,Today290,dummy15,2022-06-09 05:00:00,rain,15.8,89.2
290,Today291,dummy98,2022-06-08 20:00:00,rain,27.7,54.6
291,Today292,dummy98,2022-06-11 23:00:00,fog,15.0,113.5
292,Today293,dummy28,2022-06-10 14:00:00,sun,25.3,87.3
293,Today294,dummy15,2022-06-08 01:00:00,fog,29.3,138.4
294,Today295,dummy68,2022-06-10 01:00:00,fog,24.5,33.3
295,Today296,dummy72,2022-06-09 07:00:00,sun,18.0,130.3
296,Today297,dummy17,2022-06-12 00:00:00,cloud,19.5,41.0
297,Today298,dummy62,2022-06-09 13:00:00,cloud,17.7,121.4
298,Today299,dummy85,2022-06-11 18:00:00,rain,20.7,114.6
299,Today300,dummy69,2022-06-10 03:00:00,cloud,28.8,21.9
300,Today301,dummy59,2022-06-08 20:00:00,fog,16.0,45.9
301,Today302,dummy35,2022-06-09 19:00:00,rain,28.7,86.3
302,Today303,dummy7,2022-06-08 10:00:00,sun,27.3,115.8
303,Today304,dummy40,2022-06-10 07:00:00,fog,19.3,132.8
304,Today305,dummy6,2022-06-08 20:00:00,sun,18.0,83.8
305,Today306,dummy44,2022-06-09 06:00:00,fog,18.4,115.6
306,Today307,dummy40,2022-06-09 21:00:00,cloud,18.4,28.2
307,Today308,dummy54,2022-06-10 02:00:00,rain,21.7,87.3
308,Today309,dummy74,2022-06-11 00:00:00,fog,21.7,15.3
309,Today310,dummy84,2022-06-10 16:00:00,cloud,29.8,10.7
310,Today311,dummy72,2022-06-09 19:00:00,rain,21.1,31.1
311,Today312,dummy21,2022-06-11 17:00:00,sun,17.0,33.8
312,Today313,dummy84,2022-06-09 18:00:00,rain,19.9,30.3
313,Today314,dummy86,2022-06-10 14:00:00,cloud,24.0,85.1
314,Today315,dummy68,2022-06-09 13:00:00,rain,28.6,107.2
315,Today316,dummy3,2022-06-09 03:00:00,cloud,24.5,144.2
316,Today317,dummy21,2022-06-10 15:00:00,rain,23.5,86.5
317,Today318,dummy55,2022-06-10 10:00:00,fog,20.8,108.1
318,Today319,dummy58,2022-06-08 08:00:00,sun,16.5,75.4
319,Today320,dummy23,2022-06-10 01:00:00,sun,23.7,110.4
320,Today321,dummy39,2022-06-08 14:00:00,sun,24.8,138.6
321,Today322,dummy39,2022-06-08 07:00:00,fog,24.0,58.1
322,Today323,dummy83,2022-06-10 04:00:00,sun,22.9,109.0
323,Today324,dummy100,2022-06-08 16:00:00,fog,23.6,100.7
324,Today325,dummy25,2022-06-10 06:00:00,cloud,19.5,82.8
325,Today326,dummy91,2022-06-10 07:00:00,sun,29.4,130.5
326,Today327,dummy96,2022-06-10 12:00:00,sun,21.3,118.5
327,Today328,dummy5,2022-06-10 20:00:00,rain,20.9,26.7
328,Today329,dummy61,2022-06-11 02:00:00,fog,29.5,15.6
329,Today330,dummy61,2022-06-09 02:00:00,sun,21.6,48.4
330,Today331,dummy26,2022-06-08 09:00:00,rain,21.9,148.8
331,Today332,dummy49,2022-06-08 11:00:00,cloud,24.0,11.0
332,Today333,dummy75,2022-06-10 15:00:00,sun,28.5,42.5
333,Today334,dummy73,2022-06-09 10:00:00,sun,27.3,75.1
334,Today335,dummy54,2022-06-11 00:00:00,rain,23.8,107.0
335,Today336,dummy7,2022-06-08 19:00:00,fog,25.5,98.0
336,Today337,dummy24,2022-06-11 18:00:00,rain,18.5,13.5
337,Today338,dummy43,2022-06-09 13:00:00,sun,22.1,32.4
338,Today339,dummy53,2022-06-11 17:00:00,cloud,30.0,101.7
339,Today340,dummy97,2022-06-09 17:00:00,sun,24.5,81.8
340,Today341,dummy31,2022-06-10 01:00:00,cloud,22.1,116.8
341,Today342,dummy96,2022-06-11 10:00:00,fog,28.6,23.8
342,Today343,dummy73,2022-06-10 14:00:00,cloud,28.3,79.3
343,Today344,dummy35,2022-06-09 01:00:00,rain,23.3,143.8
344,Today345,dummy93,2022-06-10 06:00:00,cloud,20.2,59.0
345,Today346,dummy19,2022-06-11 07:00:00,sun,20.7,25.0
346,Today347,dummy18,2022-06-11 09:00:00,fog,29.0,100.3
347,Today348,dummy29,2022-06-08 12:00:00,rain,16.0,119.4
348,Today349,dummy82,2022-06-11 06:00:00,cloud,17.4,128.8
349,Today350,dummy43,2022-06-11 08:00:00,sun,16.3,60.9
350,Today351,dummy51,2022-06-10 15:00:00,cloud,27.9,16.9
351,Today352,dummy34,2022-06-09 07:00:00,rain,22.9,70.6
352,Today353,dummy64,2022-06-10 19:00:00,cloud,25.6,2.1
353,Today354,dummy86,2022-06-10 09:00:00,fog,29.5,0.6
354,Today355,dummy48,2022-06-11 06:00:00,cloud,27.9,60.6
355,Today356,dummy44,2022-06-08 15:00:00,rain,24.2,107.7
356,Today357,dummy23,2022-06-09 06:00:00,sun,16.6,96.7
357,Today358,dummy36,2022-06-11 20:00:00,fog,21.9,70.0
358,Today359,dummy24,2022-06-09 05:00:00,cloud,28.8,108.0
359,Today360,dummy72,2022-06-08 19:00:00,fog,25.4,53.8
360,Today361,dummy36,2022-06-08 10:00:00,cloud,17.2,14.2
361,Today362,dummy75,2022-06-10 14:00:00,cloud,22.2,59.7
362,Today363,dummy55,2022-06-09 13:00:00,fog,19.6,86.4
363,Today364,dummy67,2022-06-09 12:00:00,cloud,23.0,59.5
364,Today365,dummy98,2022-06-08 23:00:00,sun,24.2,15.0
365,Today366,dummy70,2022-06-09 16:00:00,sun,18.7,127.2
366,Today367,dummy76,2022-06-11 19:00:00,rain,28.5,96.4
367,Today368,dummy42,2022-06-10 08:00:00,rain,22.1,91.4
368,Today369,dummy100,2022-06-08 13:00:00,rain,22.4,128.2
369,Today370,dummy93,2022-06-10 05:00:00,rain,15.7,133.8
370,Today371,dummy56,2022-06-11 23:00:00,rain,20.0,91.6
371,Today372,dummy15,2022-06-08 07:00:00,cloud,22.2,108.8
372,Today373,dummy36,2022-06-10 09:00:00,fog,19.9,72.2
373,Today374,dummy15,2022-06-08 18:00:00,fog,18.2,17.2
374,Today375,dummy84,2022-06-08 10:00:00,rain,29.6,74.9
375,Today376,dummy51,2022-06-09 10:00:00,fog,26.2,150.0
376,Today377,dummy55,2022-06-11 02:00:00,rain,17.0,102.0
377,Today378,dummy95,2022-06-10 01:00:00,cloud,23.9,117.7
378,Today379,dummy40,2022-06-11 12:00:00,sun,26.8,90.1
379,Today380,dummy57,2022-06-10 15:00:00,sun,18.8,138.6
380,Today381,dummy80,2022-06-09 18:00:00,cloud,24.9,62.7
381,Today382,dummy28,2022-06-09 19:00:00,sun,28.9,73.9
382,Today383,dummy67,2022-06-09 22:00:00,fog,20.0,63.2
383,Today384,dummy54,2022-06-10 14:00:00,rain,27.1,131.1
384,Today385,dummy73,2022-06-08 09:00:00,rain,26.8,6.4
385,Today386,dummy30,2022-06-10 12:00:00,cloud,21.7,134.5
386,Today387,dummy45,2022-06-08 21:00:00,sun,19.5,63.0
387,Today388,dummy42,2022-06-09 03:00:00,fog,19.0,53.3
388,Today389,dummy60,2022-06-10 00:00:00,fog,22.7,8.0
389,Today390,dummy32,2022-06-11 00:00:00,sun,19.9,146.9
390,Today391,dummy58,2022-06-09 16:00:00,fog,19.7,3.6
391,Today392,dummy18,2022-06-08 22:00:00,cloud,25.1,92.3
392,Today393,dummy2,2022-06-09 13:00:00,rain,18.6,37.0
393,Today394,dummy69,2022-06-11 09:00:00,fog,25.2,25.9
394,Today395,dummy65,2022-06-09 14:00:00,fog,28.9,36.4
395,Today396,dummy65,2022-06-08 15:00:00,rain,23.7,20.1
