,todayid,id,time,temp,hum,dust
39,Today40,49,2022-06-09 18:00:00,24.9,79.9,87.1
40,Today41,26,2022-06-09 20:00:00,20.0,34.3,76.3
41,Today42,46,2022-06-11 04:00:00,26.5,70.3,88.6
42,Today43,67,2022-06-11 20:00:00,23.4,33.8,17.0
43,Today44,89,2022-06-08 22:00:00,26.9,65.9,144.9
44,Today45,58,2022-06-08 11:00:00,29.0,52.0,106.5
45,Today46,67,2022-06-09 11:00:00,16.4,50.9,36.1
46,Today47,18,2022-06-08 01:00:00,26.1,46.9,39.2
47,Today48,28,2022-06-08 02:00:00,21.6,52.2,78.3
48,Today49,54,2022-06-11 23:00:00,21.3,74.7,76.7
49,Today50,59,2022-06-11 19:00:00,25.7,63.3,135.1
50,Today51,24,2022-06-11 19:00:00,20.6,72.6,108.2
51,Today52,35,2022-06-09 16:00:00,24.8,61.9,118.8
52,Today53,79,2022-06-08 17:00:00,19.4,74.3,50.6
53,Today54,67,2022-06-10 05:00:00,19.0,13.8,66.7
54,Today55,6,2022-06-10 16:00:00,26.1,21.4,144.7
55,Today56,81,2022-06-11 09:00:00,26.3,40.7,139.7
56,Today57,86,2022-06-11 03:00:00,28.1,43.6,41.4
57,Today58,54,2022-06-11 22:00:00,19.1,32.7,85.7
58,Today59,100,2022-06-09 13:00:00,24.8,48.3,135.5
59,Today60,5,2022-06-11 18:00:00,23.8,40.4,60.6
60,Today61,16,2022-06-10 11:00:00,21.2,73.4,79.3
61,Today62,83,2022-06-11 08:00:00,19.6,47.3,121.5
62,Today63,84,2022-06-10 09:00:00,16.3,20.4,46.7
63,Today64,68,2022-06-11 06:00:00,19.7,34.6,0.6
64,Today65,98,2022-06-09 18:00:00,22.6,19.9,93.7
65,Today66,10,2022-06-11 11:00:00,18.5,38.7,113.0
66,Today67,83,2022-06-09 00:00:00,29.1,21.9,65.0
67,Today68,9,2022-06-11 05:00:00,23.9,61.3,31.6
68,Today69,84,2022-06-10 05:00:00,30.0,78.0,62.1
69,Today70,5,2022-06-11 16:00:00,21.3,13.3,34.6
70,Today71,82,2022-06-10 17:00:00,19.4,68.6,148.8
71,Today72,79,2022-06-11 15:00:00,26.6,14.6,43.3
72,Today73,89,2022-06-08 22:00:00,23.1,79.7,31.8
73,Today74,100,2022-06-11 21:00:00,18.2,16.2,31.3
74,Today75,65,2022-06-10 07:00:00,21.2,67.8,12.4
75,Today76,18,2022-06-10 01:00:00,24.1,32.2,149.3
76,Today77,72,2022-06-11 07:00:00,22.4,34.7,124.0
77,Today78,32,2022-06-09 20:00:00,23.6,23.2,43.1
78,Today79,31,2022-06-08 12:00:00,29.7,29.9,43.4
79,Today80,22,2022-06-09 14:00:00,25.4,46.8,58.6
80,Today81,81,2022-06-09 14:00:00,26.4,25.6,108.8
81,Today82,87,2022-06-10 10:00:00,17.9,56.7,128.3
82,Today83,71,2022-06-11 03:00:00,29.0,71.4,42.2
83,Today84,65,2022-06-10 16:00:00,15.9,11.4,58.0
84,Today85,13,2022-06-12 00:00:00,20.0,39.6,14.9
85,Today86,81,2022-06-08 03:00:00,17.0,24.6,138.9
86,Today87,68,2022-06-08 10:00:00,19.1,34.9,55.3
87,Today88,94,2022-06-08 17:00:00,27.9,13.4,64.6
88,Today89,53,2022-06-08 16:00:00,25.1,32.0,74.4
89,Today90,64,2022-06-08 02:00:00,21.6,13.8,109.6
90,Today91,14,2022-06-10 02:00:00,22.7,40.9,28.9
91,Today92,27,2022-06-10 17:00:00,27.2,42.7,97.5
92,Today93,35,2022-06-11 00:00:00,23.7,58.4,121.9
93,Today94,8,2022-06-09 05:00:00,29.9,22.0,143.4
94,Today95,86,2022-06-09 15:00:00,23.6,11.3,43.3
95,Today96,33,2022-06-08 19:00:00,27.7,11.3,55.1
96,Today97,50,2022-06-11 08:00:00,15.4,56.8,26.5
97,Today98,12,2022-06-11 17:00:00,20.0,31.8,86.4
98,Today99,22,2022-06-08 15:00:00,23.5,19.2,82.7
99,Today100,85,2022-06-10 04:00:00,19.4,78.9,16.2
100,Today101,13,2022-06-11 19:00:00,24.0,16.4,64.7
101,Today102,96,2022-06-10 13:00:00,19.0,74.6,74.2
102,Today103,92,2022-06-10 12:00:00,24.6,18.7,133.3
103,Today104,14,2022-06-09 11:00:00,21.1,39.6,128.2
104,Today105,86,2022-06-10 18:00:00,20.7,74.2,57.3
105,Today106,1,2022-06-09 14:00:00,17.7,30.3,43.5
106,Today107,97,2022-06-11 12:00:00,26.7,75.1,5.6
107,Today108,30,2022-06-09 19:00:00,25.5,36.8,100.9
108,Today109,9,2022-06-11 21:00:00,15.8,19.0,143.7
109,Today110,97,2022-06-09 11:00:00,26.5,30.5,27.2
110,Today111,41,2022-06-10 04:00:00,25.3,59.8,93.6
111,Today112,38,2022-06-08 21:00:00,16.2,76.6,87.5
112,Today113,44,2022-06-10 05:00:00,21.6,23.3,120.6
113,Today114,37,2022-06-10 23:00:00,26.3,57.2,51.4
114,Today115,83,2022-06-11 01:00:00,18.4,61.1,88.8
115,Today116,81,2022-06-08 11:00:00,27.6,54.2,9.5
116,Today117,54,2022-06-12 00:00:00,22.3,45.4,68.0
117,Today118,84,2022-06-08 01:00:00,24.1,21.5,118.5
118,Today119,10,2022-06-10 11:00:00,24.8,45.9,116.9
119,Today120,45,2022-06-10 19:00:00,15.2,42.3,72.8
120,Today121,34,2022-06-10 10:00:00,19.0,28.2,91.0
121,Today122,47,2022-06-08 23:00:00,29.3,39.9,129.9
122,Today123,34,2022-06-10 02:00:00,24.6,13.3,53.6
123,Today124,49,2022-06-11 00:00:00,18.6,66.3,54.7
124,Today125,24,2022-06-09 20:00:00,29.7,26.6,18.6
125,Today126,46,2022-06-09 13:00:00,16.1,46.3,110.0
126,Today127,10,2022-06-09 20:00:00,25.3,27.9,59.6
127,Today128,8,2022-06-09 03:00:00,23.3,48.2,18.7
128,Today129,92,2022-06-09 08:00:00,23.9,54.7,84.7
129,Today130,9,2022-06-10 04:00:00,16.7,27.9,72.6
130,Today131,45,2022-06-08 20:00:00,26.0,37.3,109.9
131,Today132,98,2022-06-10 16:00:00,23.7,40.4,70.4
132,Today133,37,2022-06-09 07:00:00,28.7,39.4,31.4
133,Today134,8,2022-06-11 07:00:00,25.2,47.7,78.3
134,Today135,57,2022-06-10 07:00:00,25.0,64.7,80.8
135,Today136,8,2022-06-09 08:00:00,23.2,44.4,103.2
136,Today137,9,2022-06-10 19:00:00,21.9,42.1,148.4
137,Today138,9,2022-06-09 23:00:00,29.1,14.7,47.2
138,Today139,17,2022-06-11 14:00:00,24.8,66.4,116.1
139,Today140,80,2022-06-10 12:00:00,20.1,57.1,43.1
140,Today141,31,2022-06-11 01:00:00,18.8,49.2,69.2
141,Today142,51,2022-06-08 23:00:00,29.2,11.9,107.7
142,Today143,49,2022-06-11 01:00:00,25.2,50.7,130.8
143,Today144,24,2022-06-08 13:00:00,15.3,54.8,139.7
144,Today145,67,2022-06-11 16:00:00,22.7,42.3,120.3
145,Today146,42,2022-06-08 16:00:00,21.9,38.7,64.0
146,Today147,86,2022-06-09 14:00:00,26.7,13.7,24.3
147,Today148,32,2022-06-09 03:00:00,23.4,48.7,82.8
148,Today149,8,2022-06-08 10:00:00,21.3,78.3,106.3
149,Today150,23,2022-06-10 01:00:00,27.5,14.6,103.1
150,Today151,8,2022-06-10 13:00:00,26.3,62.1,134.4
151,Today152,14,2022-06-09 02:00:00,21.3,38.4,129.3
152,Today153,90,2022-06-09 05:00:00,19.4,41.9,94.5
153,Today154,100,2022-06-08 13:00:00,23.1,17.2,76.4
154,Today155,65,2022-06-11 07:00:00,26.7,59.8,124.7
155,Today156,76,2022-06-09 09:00:00,28.1,66.2,0.1
156,Today157,71,2022-06-08 05:00:00,16.2,53.5,4.6
157,Today158,2,2022-06-10 05:00:00,23.5,41.9,21.5
158,Today159,46,2022-06-11 01:00:00,29.6,32.9,53.9
159,Today160,89,2022-06-09 17:00:00,28.0,76.8,100.9
160,Today161,9,2022-06-11 22:00:00,18.0,57.6,95.7
161,Today162,63,2022-06-10 17:00:00,19.5,74.8,63.5
162,Today163,1,2022-06-08 09:00:00,18.9,54.1,4.0
163,Today164,13,2022-06-08 11:00:00,19.5,59.2,26.2
164,Today165,17,2022-06-10 00:00:00,26.5,42.0,136.7
165,Today166,78,2022-06-09 14:00:00,25.8,73.4,25.6
166,Today167,98,2022-06-11 13:00:00,20.6,56.7,107.9
167,Today168,42,2022-06-08 19:00:00,16.6,60.2,93.7
168,Today169,90,2022-06-10 01:00:00,25.3,20.2,99.1
169,Today170,54,2022-06-10 21:00:00,28.3,46.5,127.0
170,Today171,22,2022-06-08 15:00:00,24.7,70.4,76.1
171,Today172,35,2022-06-10 12:00:00,18.2,20.5,0.9
172,Today173,52,2022-06-10 12:00:00,27.2,37.7,117.8
173,Today174,64,2022-06-10 04:00:00,19.5,77.0,87.3
174,Today175,76,2022-06-10 16:00:00,22.0,71.6,134.9
175,Today176,56,2022-06-11 08:00:00,24.6,11.6,20.7
176,Today177,62,2022-06-09 23:00:00,28.3,67.4,7.2
177,Today178,92,2022-06-11 23:00:00,16.8,51.0,127.2
178,Today179,88,2022-06-10 19:00:00,28.2,61.1,67.5
179,Today180,59,2022-06-10 13:00:00,27.0,19.4,22.3
180,Today181,69,2022-06-10 15:00:00,23.5,13.8,145.4
181,Today182,74,2022-06-09 01:00:00,27.6,61.7,75.3
182,Today183,63,2022-06-09 04:00:00,19.9,22.4,45.7
183,Today184,55,2022-06-10 15:00:00,17.5,51.8,45.0
184,Today185,34,2022-06-10 15:00:00,15.0,55.8,39.3
185,Today186,60,2022-06-11 23:00:00,29.9,43.4,118.9
186,Today187,70,2022-06-08 19:00:00,25.7,60.5,70.3
187,Today188,19,2022-06-11 04:00:00,23.5,63.7,76.6
188,Today189,80,2022-06-08 19:00:00,23.7,68.5,34.5
189,Today190,1,2022-06-09 04:00:00,18.8,40.6,52.8
190,Today191,49,2022-06-08 12:00:00,17.2,15.8,105.8
191,Today192,42,2022-06-08 22:00:00,29.2,31.5,77.7
192,Today193,71,2022-06-11 22:00:00,24.1,10.5,47.8
193,Today194,98,2022-06-11 04:00:00,23.5,55.4,19.0
194,Today195,65,2022-06-09 14:00:00,24.2,77.6,23.6
195,Today196,58,2022-06-08 08:00:00,19.3,35.3,148.9
196,Today197,99,2022-06-09 12:00:00,15.9,13.6,3.4
197,Today198,48,2022-06-11 17:00:00,22.1,23.9,33.5
198,Today199,69,2022-06-10 11:00:00,21.0,65.4,89.1
199,Today200,51,2022-06-10 14:00:00,29.6,51.4,85.6
200,Today201,94,2022-06-08 14:00:00,25.6,28.7,41.8
201,Today202,68,2022-06-08 22:00:00,25.1,44.1,69.9
202,Today203,4,2022-06-11 04:00:00,21.8,20.8,68.8
203,Today204,92,2022-06-10 17:00:00,25.6,19.8,93.0
204,Today205,28,2022-06-11 09:00:00,25.3,77.1,67.5
205,Today206,26,2022-06-10 22:00:00,17.7,27.7,108.3
206,Today207,33,2022-06-09 10:00:00,19.7,31.6,93.0
207,Today208,75,2022-06-12 00:00:00,19.2,64.3,75.2
208,Today209,17,2022-06-08 05:00:00,18.1,74.4,54.9
209,Today210,76,2022-06-11 11:00:00,15.9,21.5,19.3
210,Today211,34,2022-06-11 05:00:00,25.9,12.7,57.9
211,Today212,3,2022-06-11 17:00:00,15.3,17.5,49.5
212,Today213,65,2022-06-08 14:00:00,27.1,30.5,49.8
213,Today214,73,2022-06-10 08:00:00,26.6,15.1,57.5
214,Today215,57,2022-06-10 14:00:00,25.0,30.1,61.7
215,Today216,16,2022-06-09 03:00:00,25.0,40.7,10.5
216,Today217,72,2022-06-10 08:00:00,17.3,57.6,53.7
217,Today218,5,2022-06-09 02:00:00,24.8,29.6,73.5
218,Today219,35,2022-06-11 12:00:00,15.2,25.7,137.3
219,Today220,60,2022-06-11 07:00:00,25.5,58.5,132.6
220,Today221,28,2022-06-08 04:00:00,23.7,35.4,5.1
221,Today222,38,2022-06-08 08:00:00,19.4,13.8,92.7
222,Today223,65,2022-06-08 16:00:00,17.2,64.6,14.6
223,Today224,76,2022-06-09 10:00:00,27.0,64.7,70.0
224,Today225,9,2022-06-08 06:00:00,25.2,77.9,149.5
225,Today226,57,2022-06-08 05:00:00,27.2,73.9,55.1
226,Today227,13,2022-06-09 03:00:00,19.0,18.5,75.5
227,Today228,23,2022-06-11 01:00:00,15.3,26.8,99.7
228,Today229,81,2022-06-09 23:00:00,21.5,70.4,117.8
229,Today230,39,2022-06-08 11:00:00,24.2,68.3,120.8
230,Today231,45,2022-06-09 15:00:00,23.0,52.6,61.9
231,Today232,22,2022-06-11 03:00:00,26.3,77.7,86.3
232,Today233,31,2022-06-09 22:00:00,24.3,77.5,58.9
233,Today234,26,2022-06-10 23:00:00,26.6,53.9,29.6
234,Today235,38,2022-06-09 23:00:00,17.1,73.0,31.0
235,Today236,65,2022-06-10 18:00:00,16.2,69.3,19.2
236,Today237,11,2022-06-10 07:00:00,18.3,76.1,62.4
237,Today238,36,2022-06-08 01:00:00,22.3,13.0,114.6
238,Today239,58,2022-06-09 08:00:00,28.0,58.5,8.2
239,Today240,40,2022-06-10 10:00:00,19.2,36.3,101.2
240,Today241,36,2022-06-11 10:00:00,21.1,25.5,141.4
241,Today242,43,2022-06-08 07:00:00,19.4,57.8,103.8
242,Today243,25,2022-06-11 05:00:00,25.4,72.0,101.0
243,Today244,79,2022-06-11 04:00:00,29.2,53.3,46.8
244,Today245,70,2022-06-11 08:00:00,17.7,21.6,136.2
245,Today246,47,2022-06-10 18:00:00,28.0,66.7,55.3
246,Today247,20,2022-06-08 00:00:00,24.7,16.3,129.2
247,Today248,88,2022-06-08 06:00:00,16.9,58.5,17.3
248,Today249,41,2022-06-09 12:00:00,18.7,20.8,11.2
249,Today250,28,2022-06-10 01:00:00,16.6,48.6,45.7
250,Today251,82,2022-06-08 21:00:00,21.5,78.7,45.0
251,Today252,5,2022-06-10 03:00:00,24.7,62.3,123.8
252,Today253,23,2022-06-11 12:00:00,27.4,71.4,96.3
253,Today254,30,2022-06-10 03:00:00,20.1,48.5,41.2
254,Today255,9,2022-06-08 20:00:00,26.1,58.1,54.7
255,Today256,60,2022-06-10 23:00:00,17.7,56.3,82.0
256,Today257,98,2022-06-09 01:00:00,20.8,77.7,62.1
257,Today258,14,2022-06-10 03:00:00,25.8,12.0,103.5
258,Today259,5,2022-06-11 15:00:00,16.9,33.4,14.2
259,Today260,73,2022-06-09 01:00:00,18.0,45.4,126.1
260,Today261,19,2022-06-09 11:00:00,25.6,40.6,104.9
261,Today262,62,2022-06-09 01:00:00,26.0,26.2,143.1
262,Today263,15,2022-06-11 21:00:00,21.9,40.8,134.0
263,Today264,53,2022-06-10 00:00:00,23.9,17.4,36.4
264,Today265,59,2022-06-10 22:00:00,25.6,31.7,59.8
265,Today266,52,2022-06-11 16:00:00,18.6,74.7,9.2
266,Today267,92,2022-06-08 15:00:00,26.2,52.5,1.2
267,Today268,12,2022-06-09 23:00:00,22.4,79.1,144.6
268,Today269,42,2022-06-11 06:00:00,26.2,44.2,40.7
269,Today270,47,2022-06-09 20:00:00,24.6,26.8,92.1
270,Today271,46,2022-06-10 10:00:00,23.0,73.2,51.7
271,Today272,95,2022-06-09 19:00:00,23.5,49.4,49.0
272,Today273,75,2022-06-09 21:00:00,17.8,45.1,118.0
273,Today274,97,2022-06-09 13:00:00,15.8,32.1,111.2
274,Today275,51,2022-06-08 17:00:00,26.0,16.9,11.4
275,Today276,93,2022-06-10 01:00:00,24.7,56.4,81.6
276,Today277,97,2022-06-11 10:00:00,26.4,58.4,148.4
277,Today278,93,2022-06-09 01:00:00,25.1,26.5,95.2
278,Today279,12,2022-06-10 17:00:00,24.7,69.4,109.1
279,Today280,23,2022-06-09 06:00:00,23.7,38.3,131.7
280,Today281,45,2022-06-08 07:00:00,27.6,16.9,7.8
281,Today282,24,2022-06-08 15:00:00,21.9,22.6,74.3
282,Today283,98,2022-06-08 08:00:00,21.5,59.3,41.9
283,Today284,88,2022-06-08 08:00:00,30.0,17.6,114.6
284,Today285,19,2022-06-11 23:00:00,19.9,66.7,5.2
285,Today286,17,2022-06-08 23:00:00,28.1,59.0,45.0
286,Today287,12,2022-06-08 00:00:00,21.5,64.5,139.1
287,Today288,65,2022-06-11 17:00:00,22.2,23.4,113.0
288,Today289,97,2022-06-09 22:00:00,25.4,70.0,19.7
289,Today290,42,2022-06-09 01:00:00,24.0,72.9,76.0
290,Today291,82,2022-06-11 05:00:00,16.2,55.6,8.4
291,Today292,52,2022-06-09 15:00:00,29.1,68.3,135.4
292,Today293,43,2022-06-11 18:00:00,15.6,53.0,6.4
293,Today294,95,2022-06-09 22:00:00,23.4,22.6,128.4
294,Today295,53,2022-06-08 00:00:00,27.0,79.5,59.9
295,Today296,34,2022-06-10 06:00:00,29.4,30.5,96.6
296,Today297,78,2022-06-08 04:00:00,19.5,56.6,107.0
297,Today298,72,2022-06-08 14:00:00,16.9,69.2,95.7
298,Today299,89,2022-06-08 22:00:00,26.7,70.0,98.4
299,Today300,75,2022-06-08 07:00:00,22.7,47.0,133.4
300,Today301,70,2022-06-09 08:00:00,23.7,17.4,28.7
301,Today302,45,2022-06-11 12:00:00,28.5,29.5,141.2
302,Today303,94,2022-06-09 20:00:00,17.5,45.9,74.6
303,Today304,92,2022-06-10 06:00:00,18.4,29.9,62.9
304,Today305,57,2022-06-10 06:00:00,28.9,31.8,52.6
305,Today306,74,2022-06-09 03:00:00,24.2,44.4,128.7
306,Today307,45,2022-06-08 05:00:00,19.8,16.2,90.1
307,Today308,58,2022-06-09 17:00:00,17.0,37.3,10.5
308,Today309,15,2022-06-11 04:00:00,16.4,59.6,118.6
309,Today310,73,2022-06-10 10:00:00,17.7,37.6,1.8
310,Today311,41,2022-06-09 13:00:00,17.8,26.2,90.3
311,Today312,68,2022-06-10 22:00:00,29.3,14.7,27.7
312,Today313,22,2022-06-09 05:00:00,22.9,24.9,137.2
313,Today314,7,2022-06-10 09:00:00,29.6,56.9,44.5
314,Today315,66,2022-06-11 07:00:00,16.4,33.9,144.8
315,Today316,41,2022-06-08 16:00:00,15.1,18.9,129.6
316,Today317,28,2022-06-08 23:00:00,22.5,44.5,105.1
317,Today318,77,2022-06-10 11:00:00,26.4,19.0,95.6
318,Today319,24,2022-06-09 06:00:00,23.6,16.1,69.5
319,Today320,14,2022-06-11 03:00:00,28.7,51.7,43.1
320,Today321,63,2022-06-09 22:00:00,21.6,75.4,67.4
321,Today322,38,2022-06-10 01:00:00,16.3,53.8,34.8
322,Today323,1,2022-06-09 12:00:00,18.5,48.1,1.4
323,Today324,76,2022-06-10 12:00:00,21.8,14.6,133.3
324,Today325,51,2022-06-10 08:00:00,16.5,53.0,1.8
325,Today326,58,2022-06-09 12:00:00,25.5,20.0,123.2
326,Today327,36,2022-06-08 23:00:00,27.2,36.3,149.2
327,Today328,84,2022-06-08 04:00:00,24.9,64.2,5.7
328,Today329,20,2022-06-08 16:00:00,24.0,27.5,73.9
329,Today330,90,2022-06-09 22:00:00,20.5,37.0,47.0
330,Today331,99,2022-06-10 06:00:00,19.2,47.8,49.7
331,Today332,99,2022-06-09 07:00:00,29.1,58.0,122.8
332,Today333,29,2022-06-09 16:00:00,19.0,12.5,70.8
333,Today334,98,2022-06-11 21:00:00,27.7,27.5,35.8
334,Today335,9,2022-06-11 12:00:00,23.0,25.6,41.5
335,Today336,38,2022-06-09 23:00:00,17.4,10.2,56.4
336,Today337,77,2022-06-08 10:00:00,28.9,58.3,37.9
337,Today338,3,2022-06-08 00:00:00,19.3,68.9,66.9
338,Today339,70,2022-06-08 07:00:00,19.2,62.3,2.4
339,Today340,63,2022-06-09 22:00:00,28.0,14.3,72.5
340,Today341,91,2022-06-09 18:00:00,25.6,15.7,49.3
341,Today342,87,2022-06-11 12:00:00,18.3,28.6,34.8
342,Today343,97,2022-06-09 01:00:00,27.5,22.1,120.6
343,Today344,66,2022-06-10 02:00:00,22.2,11.5,104.6
344,Today345,99,2022-06-09 23:00:00,15.0,14.9,98.1
345,Today346,31,2022-06-11 01:00:00,20.1,50.6,143.1
346,Today347,53,2022-06-09 00:00:00,16.5,79.8,94.5
347,Today348,90,2022-06-09 02:00:00,28.2,59.4,92.3
348,Today349,15,2022-06-10 01:00:00,25.5,42.5,88.5
349,Today350,87,2022-06-10 08:00:00,20.0,24.7,81.1
350,Today351,84,2022-06-08 02:00:00,17.6,47.1,132.8
351,Today352,69,2022-06-09 08:00:00,23.0,22.3,112.8
352,Today353,100,2022-06-10 16:00:00,24.6,12.7,15.2
353,Today354,89,2022-06-11 11:00:00,18.1,16.0,85.4
354,Today355,23,2022-06-10 23:00:00,26.8,62.7,71.4
355,Today356,60,2022-06-09 09:00:00,19.0,23.3,29.5
356,Today357,45,2022-06-09 17:00:00,16.8,69.7,83.9
357,Today358,47,2022-06-10 01:00:00,21.8,72.2,59.6
358,Today359,78,2022-06-11 21:00:00,19.8,50.9,78.6
359,Today360,1,2022-06-11 07:00:00,22.2,77.1,34.3
360,Today361,47,2022-06-09 01:00:00,20.3,24.1,66.9
361,Today362,86,2022-06-09 03:00:00,23.0,47.6,122.6
362,Today363,44,2022-06-08 00:00:00,15.7,14.0,32.1
363,Today364,62,2022-06-09 05:00:00,21.6,60.1,139.1
364,Today365,84,2022-06-09 07:00:00,27.6,60.2,145.3
365,Today366,71,2022-06-11 14:00:00,15.4,67.4,113.2
366,Today367,38,2022-06-09 18:00:00,26.0,53.7,94.0
367,Today368,42,2022-06-09 01:00:00,15.4,18.0,127.8
368,Today369,51,2022-06-10 03:00:00,18.6,30.6,120.4
369,Today370,72,2022-06-11 21:00:00,23.3,41.4,126.7
370,Today371,2,2022-06-11 10:00:00,20.8,75.6,103.3
371,Today372,94,2022-06-10 09:00:00,18.6,52.0,127.5
372,Today373,97,2022-06-08 02:00:00,21.0,69.9,139.1
373,Today374,35,2022-06-10 13:00:00,24.7,49.0,65.1
374,Today375,57,2022-06-09 01:00:00,29.6,48.7,29.5
375,Today376,28,2022-06-10 20:00:00,28.7,69.2,89.0
376,Today377,18,2022-06-09 23:00:00,17.5,39.2,88.9
377,Today378,36,2022-06-11 22:00:00,22.2,44.8,111.0
378,Today379,60,2022-06-08 03:00:00,16.7,32.6,63.7
379,Today380,5,2022-06-11 00:00:00,22.4,10.9,137.0
380,Today381,20,2022-06-10 10:00:00,17.7,47.0,96.0
381,Today382,16,2022-06-08 04:00:00,18.2,52.0,28.5
382,Today383,25,2022-06-09 05:00:00,19.9,70.4,45.1
383,Today384,76,2022-06-08 03:00:00,24.8,73.0,36.8
384,Today385,42,2022-06-11 07:00:00,20.4,13.3,49.7
385,Today386,74,2022-06-09 22:00:00,18.9,56.8,82.8
386,Today387,87,2022-06-08 23:00:00,23.5,44.9,79.7
387,Today388,41,2022-06-11 10:00:00,23.5,72.9,123.7
388,Today389,58,2022-06-08 23:00:00,15.8,74.5,78.5
389,Today390,67,2022-06-11 15:00:00,29.4,58.5,12.8
390,Today391,33,2022-06-10 07:00:00,17.9,15.7,30.3
391,Today392,60,2022-06-11 06:00:00,21.2,36.9,36.3
392,Today393,8,2022-06-10 07:00:00,15.9,36.7,58.0
393,Today394,5,2022-06-11 23:00:00,27.9,70.8,38.0
394,Today395,9,2022-06-11 21:00:00,24.6,62.9,56.1
395,Today396,97,2022-06-11 20:00:00,19.9,29.6,99.1
396,Today397,56,2022-06-11 20:00:00,29.8,73.7,0.2
397,Today398,69,2022-06-09 18:00:00,15.3,25.5,65.8
398,Today399,59,2022-06-11 09:00:00,19.3,79.7,18.3
399,Today400,68,2022-06-10 17:00:00,16.7,45.9,59.7
400,Today401,46,2022-06-11 15:00:00,17.3,79.9,58.7
401,Today402,33,2022-06-10 08:00:00,29.9,13.1,27.5
402,Today403,53,2022-06-08 09:00:00,21.3,33.8,9.0
403,Today404,53,2022-06-08 17:00:00,25.6,30.3,119.8
404,Today405,91,2022-06-08 21:00:00,20.3,47.6,41.7
405,Today406,58,2022-06-09 15:00:00,21.0,33.3,149.4
406,Today407,26,2022-06-10 13:00:00,21.2,17.2,116.1
407,Today408,88,2022-06-11 00:00:00,28.7,49.3,77.8
408,Today409,9,2022-06-10 07:00:00,26.9,21.0,59.2
409,Today410,47,2022-06-09 17:00:00,26.1,75.8,56.5
410,Today411,61,2022-06-08 22:00:00,27.4,29.8,0.9
411,Today412,80,2022-06-09 13:00:00,24.0,75.0,40.9
412,Today413,42,2022-06-08 21:00:00,25.4,46.5,10.7
413,Today414,4,2022-06-09 00:00:00,24.6,48.7,115.8
414,Today415,46,2022-06-11 09:00:00,25.1,12.8,112.5
415,Today416,18,2022-06-10 17:00:00,22.9,29.3,141.8
416,Today417,83,2022-06-08 12:00:00,19.4,10.5,126.8
417,Today418,75,2022-06-09 08:00:00,23.3,55.1,65.6
418,Today419,48,2022-06-08 21:00:00,23.2,29.8,124.2
419,Today420,86,2022-06-09 11:00:00,22.6,41.8,15.9
420,Today421,58,2022-06-08 10:00:00,29.8,42.1,145.0
421,Today422,42,2022-06-11 14:00:00,24.1,76.5,49.7
422,Today423,81,2022-06-10 23:00:00,15.6,61.6,143.1
