,CODE,ID,myColor,myCategory,myImg,BuyDate
137,my138,dummy66,red,slacks,img138,2020-10-31
138,my139,dummy38,white,jean,img139,2019-08-08
139,my140,dummy56,yellow,hoodie,img140,2021-02-27
140,my141,dummy65,yellow,knit,img141,2019-06-01
141,my142,dummy97,white,bottomEtc,img142,2018-11-30
142,my143,dummy27,red,hoodie,img143,2019-08-29
143,my144,dummy97,blue,bottomEtc,img144,2021-08-28
144,my145,dummy11,blue,skirt,img145,2020-04-15
145,my146,dummy20,red,longShirts,img146,2021-02-28
146,my147,dummy100,white,dressShirts,img147,2019-12-10
147,my148,dummy91,black,longShirts,img148,2020-01-14
148,my149,dummy46,white,longShirts,img149,2020-06-13
149,my150,dummy25,black,skirt,img150,2020-10-24
150,my151,dummy62,white,shortShirts,img151,2019-08-10
151,my152,dummy6,yellow,bottomEtc,img152,2020-06-07
152,my153,dummy60,red,jean,img153,2020-07-23
153,my154,dummy1,red,slacks,img154,2021-05-29
154,my155,dummy64,yellow,longPants,img155,2020-03-23
155,my156,dummy50,black,jogger,img156,2019-10-17
156,my157,dummy12,yellow,bottomEtc,img157,2021-07-12
157,my158,dummy88,yellow,slacks,img158,2019-09-29
158,my159,dummy42,white,longShirts,img159,2021-01-24
159,my160,dummy16,red,jogger,img160,2020-11-09
160,my161,dummy16,blue,knit,img161,2020-03-04
161,my162,dummy75,yellow,shortPants,img162,2020-02-13
162,my163,dummy60,black,slacks,img163,2020-07-30
163,my164,dummy81,red,dressShirts,img164,2019-06-13
164,my165,dummy28,red,shortPants,img165,2020-04-10
165,my166,dummy14,yellow,jogger,img166,2019-07-21
166,my167,dummy42,black,dressShirts,img167,2020-05-15
167,my168,dummy25,red,shortPants,img168,2018-09-17
168,my169,dummy18,red,jogger,img169,2019-12-08
169,my170,dummy64,blue,slacks,img170,2019-11-16
170,my171,dummy90,black,topEtc,img171,2018-08-11
171,my172,dummy30,blue,hoodie,img172,2019-09-29
172,my173,dummy85,black,cotton,img173,2019-11-22
173,my174,dummy92,blue,skirt,img174,2021-06-18
174,my175,dummy5,black,knit,img175,2020-05-19
175,my176,dummy85,black,longShirts,img176,2021-03-02
176,my177,dummy19,white,topEtc,img177,2021-01-20
177,my178,dummy82,white,slacks,img178,2019-01-12
178,my179,dummy15,white,longPants,img179,2020-03-28
179,my180,dummy12,white,topEtc,img180,2018-04-11
180,my181,dummy94,yellow,skirt,img181,2018-04-08
181,my182,dummy15,black,dressShirts,img182,2019-07-08
182,my183,dummy16,yellow,shortPants,img183,2020-10-06
183,my184,dummy44,black,topEtc,img184,2019-08-17
184,my185,dummy3,yellow,cotton,img185,2019-10-11
185,my186,dummy16,blue,bottomEtc,img186,2019-10-11
186,my187,dummy88,black,shortShirts,img187,2020-05-13
187,my188,dummy19,red,jean,img188,2018-11-23
188,my189,dummy29,white,longPants,img189,2019-01-16
189,my190,dummy92,blue,shortShirts,img190,2021-11-18
190,my191,dummy29,black,topEtc,img191,2018-02-20
191,my192,dummy48,black,shortShirts,img192,2019-12-31
192,my193,dummy15,white,slacks,img193,2020-09-15
193,my194,dummy82,blue,shortPants,img194,2019-10-03
194,my195,dummy81,yellow,shortPants,img195,2019-02-27
195,my196,dummy78,blue,bottomEtc,img196,2019-08-25
196,my197,dummy83,red,jogger,img197,2021-12-16
197,my198,dummy72,black,jogger,img198,2019-04-12
198,my199,dummy83,blue,jogger,img199,2018-02-14
199,my200,dummy43,red,sweatShirts,img200,2020-12-21
200,my201,dummy52,blue,sweatShirts,img201,2020-01-05
201,my202,dummy58,blue,slacks,img202,2018-02-14
202,my203,dummy92,blue,dressShirts,img203,2018-03-08
203,my204,dummy61,red,topEtc,img204,2019-09-03
204,my205,dummy76,white,skirt,img205,2020-10-22
205,my206,dummy53,red,longPants,img206,2019-02-05
206,my207,dummy59,yellow,cotton,img207,2020-09-24
207,my208,dummy99,red,longShirts,img208,2018-04-24
208,my209,dummy73,red,cotton,img209,2021-12-11
209,my210,dummy39,black,sweatShirts,img210,2021-07-09
210,my211,dummy65,white,topEtc,img211,2019-06-14
211,my212,dummy86,white,dressShirts,img212,2019-05-27
212,my213,dummy56,red,jean,img213,2021-10-15
213,my214,dummy43,red,sweatShirts,img214,2020-03-03
214,my215,dummy21,yellow,shortPants,img215,2021-02-18
215,my216,dummy20,black,jean,img216,2021-02-16
216,my217,dummy10,black,shortShirts,img217,2018-03-12
217,my218,dummy96,red,slacks,img218,2021-11-20
218,my219,dummy24,white,topEtc,img219,2020-10-07
219,my220,dummy37,white,shortPants,img220,2018-03-17
220,my221,dummy59,red,skirt,img221,2018-01-02
221,my222,dummy38,red,hoodie,img222,2021-08-26
222,my223,dummy2,red,jogger,img223,2021-03-26
223,my224,dummy78,white,longPants,img224,2018-03-02
224,my225,dummy4,blue,bottomEtc,img225,2020-05-01
225,my226,dummy99,red,bottomEtc,img226,2020-10-01
226,my227,dummy42,red,hoodie,img227,2018-11-10
227,my228,dummy24,red,sweatShirts,img228,2020-11-23
228,my229,dummy49,black,longPants,img229,2018-09-11
229,my230,dummy49,black,sweatShirts,img230,2021-07-13
230,my231,dummy60,black,skirt,img231,2021-09-23
231,my232,dummy81,white,longPants,img232,2018-09-12
232,my233,dummy78,red,cotton,img233,2020-01-28
233,my234,dummy65,yellow,longShirts,img234,2018-10-29
234,my235,dummy91,red,slacks,img235,2020-08-04
235,my236,dummy66,red,jogger,img236,2021-02-26
236,my237,dummy6,yellow,shortPants,img237,2021-05-24
237,my238,dummy21,red,knit,img238,2021-02-21
238,my239,dummy74,blue,skirt,img239,2020-08-17
239,my240,dummy98,yellow,shortShirts,img240,2018-02-03
240,my241,dummy87,white,longPants,img241,2018-03-24
241,my242,dummy12,red,bottomEtc,img242,2020-10-11
242,my243,dummy30,blue,bottomEtc,img243,2021-04-01
243,my244,dummy16,blue,cotton,img244,2021-08-07
244,my245,dummy21,blue,shortPants,img245,2019-05-25
245,my246,dummy45,blue,shortShirts,img246,2018-08-17
246,my247,dummy51,white,longPants,img247,2019-05-25
247,my248,dummy88,yellow,hoodie,img248,2019-11-11
248,my249,dummy100,yellow,shortShirts,img249,2020-05-23
249,my250,dummy55,yellow,bottomEtc,img250,2021-07-20
250,my251,dummy79,red,jogger,img251,2020-04-20
251,my252,dummy11,red,hoodie,img252,2020-08-13
252,my253,dummy86,red,bottomEtc,img253,2019-09-30
253,my254,dummy65,red,longPants,img254,2020-12-04
254,my255,dummy70,blue,knit,img255,2021-12-30
255,my256,dummy75,white,shortShirts,img256,2019-10-02
256,my257,dummy88,white,jean,img257,2020-12-25
257,my258,dummy19,yellow,skirt,img258,2020-07-14
258,my259,dummy55,blue,knit,img259,2020-07-29
259,my260,dummy21,black,longPants,img260,2019-01-05
260,my261,dummy81,black,jean,img261,2018-08-27
261,my262,dummy50,red,hoodie,img262,2020-06-18
262,my263,dummy80,black,jean,img263,2020-03-31
263,my264,dummy44,blue,longShirts,img264,2021-08-28
264,my265,dummy81,red,skirt,img265,2018-09-16
265,my266,dummy68,black,topEtc,img266,2021-01-04
266,my267,dummy36,yellow,skirt,img267,2018-07-16
267,my268,dummy21,white,sweatShirts,img268,2019-02-19
268,my269,dummy57,black,hoodie,img269,2019-05-23
269,my270,dummy7,yellow,shortPants,img270,2018-08-30
270,my271,dummy43,white,jean,img271,2018-12-11
271,my272,dummy67,blue,jogger,img272,2019-06-13
272,my273,dummy36,red,knit,img273,2019-10-23
273,my274,dummy66,blue,dressShirts,img274,2021-11-18
274,my275,dummy99,white,sweatShirts,img275,2018-03-13
275,my276,dummy35,white,topEtc,img276,2021-07-16
276,my277,dummy51,red,cotton,img277,2018-09-09
277,my278,dummy22,red,sweatShirts,img278,2019-04-12
278,my279,dummy47,blue,topEtc,img279,2019-11-13
279,my280,dummy36,blue,shortShirts,img280,2020-08-21
280,my281,dummy95,black,shortPants,img281,2020-02-09
281,my282,dummy24,white,jean,img282,2021-01-12
282,my283,dummy66,white,longShirts,img283,2018-02-14
283,my284,dummy86,black,cotton,img284,2020-12-09
284,my285,dummy22,yellow,bottomEtc,img285,2021-01-10
285,my286,dummy100,blue,topEtc,img286,2018-09-25
286,my287,dummy35,blue,shortShirts,img287,2019-01-29
287,my288,dummy58,yellow,jean,img288,2018-02-23
288,my289,dummy37,yellow,topEtc,img289,2019-01-07
289,my290,dummy8,white,slacks,img290,2018-08-12
290,my291,dummy10,yellow,shortPants,img291,2020-03-24
291,my292,dummy59,yellow,shortShirts,img292,2021-11-10
292,my293,dummy59,white,knit,img293,2021-04-01
293,my294,dummy90,yellow,longPants,img294,2019-06-20
294,my295,dummy12,yellow,cotton,img295,2021-03-11
295,my296,dummy15,white,jean,img296,2021-06-17
296,my297,dummy82,blue,shortShirts,img297,2020-04-19
297,my298,dummy94,red,jean,img298,2019-08-06
298,my299,dummy11,blue,longShirts,img299,2021-01-25
299,my300,dummy29,blue,longPants,img300,2020-10-26
300,my301,dummy12,white,slacks,img301,2020-08-03
301,my302,dummy72,red,jean,img302,2020-06-25
302,my303,dummy63,blue,shortShirts,img303,2020-12-11
303,my304,dummy33,white,slacks,img304,2021-03-24
304,my305,dummy57,red,shortPants,img305,2018-07-28
305,my306,dummy99,yellow,shortShirts,img306,2018-04-19
306,my307,dummy55,red,jogger,img307,2021-08-30
307,my308,dummy17,white,hoodie,img308,2020-08-14
308,my309,dummy100,white,dressShirts,img309,2018-07-23
309,my310,dummy66,black,dressShirts,img310,2020-08-11
310,my311,dummy21,red,dressShirts,img311,2018-03-19
311,my312,dummy17,red,longShirts,img312,2019-08-14
312,my313,dummy74,black,jean,img313,2018-07-13
313,my314,dummy5,white,jean,img314,2020-02-06
314,my315,dummy86,black,topEtc,img315,2019-07-30
315,my316,dummy18,red,hoodie,img316,2020-12-09
316,my317,dummy38,blue,bottomEtc,img317,2021-02-25
317,my318,dummy86,yellow,cotton,img318,2019-04-27
318,my319,dummy21,red,dressShirts,img319,2019-10-24
319,my320,dummy69,blue,shortPants,img320,2018-05-09
320,my321,dummy17,yellow,shortPants,img321,2021-04-19
321,my322,dummy34,black,sweatShirts,img322,2018-09-20
322,my323,dummy52,white,slacks,img323,2018-03-26
323,my324,dummy1,yellow,hoodie,img324,2019-11-09
324,my325,dummy83,red,jean,img325,2020-06-05
325,my326,dummy94,red,jogger,img326,2019-03-14
326,my327,dummy9,yellow,skirt,img327,2018-05-25
327,my328,dummy55,black,shortShirts,img328,2018-05-12
328,my329,dummy90,yellow,longShirts,img329,2018-08-02
329,my330,dummy36,blue,knit,img330,2021-09-12
330,my331,dummy77,yellow,longPants,img331,2021-01-06
331,my332,dummy72,black,jogger,img332,2021-12-28
332,my333,dummy66,blue,slacks,img333,2020-02-07
333,my334,dummy42,blue,longPants,img334,2020-03-07
334,my335,dummy81,black,jogger,img335,2018-11-09
335,my336,dummy62,white,longShirts,img336,2019-12-05
336,my337,dummy13,black,shortShirts,img337,2018-08-03
337,my338,dummy50,red,bottomEtc,img338,2019-05-20
338,my339,dummy3,yellow,knit,img339,2018-01-09
339,my340,dummy38,red,cotton,img340,2019-12-27
340,my341,dummy68,blue,shortShirts,img341,2019-06-24
341,my342,dummy31,white,bottomEtc,img342,2018-01-15
342,my343,dummy34,white,jogger,img343,2021-10-08
343,my344,dummy96,black,skirt,img344,2018-06-26
344,my345,dummy53,black,jogger,img345,2018-03-30
345,my346,dummy18,blue,shortPants,img346,2019-11-16
346,my347,dummy83,yellow,longShirts,img347,2018-03-09
347,my348,dummy80,white,skirt,img348,2019-06-14
348,my349,dummy66,white,longPants,img349,2021-03-08
349,my350,dummy92,black,hoodie,img350,2019-08-23
350,my351,dummy60,red,longShirts,img351,2019-09-28
351,my352,dummy84,blue,shortShirts,img352,2019-04-01
352,my353,dummy77,black,dressShirts,img353,2020-07-23
353,my354,dummy50,white,shortShirts,img354,2019-11-13
354,my355,dummy93,blue,shortShirts,img355,2020-06-28
355,my356,dummy12,blue,jogger,img356,2020-09-07
356,my357,dummy94,yellow,topEtc,img357,2020-02-21
357,my358,dummy56,red,bottomEtc,img358,2020-09-25
358,my359,dummy92,yellow,sweatShirts,img359,2019-03-16
359,my360,dummy34,blue,jean,img360,2020-02-07
360,my361,dummy99,yellow,slacks,img361,2021-08-22
361,my362,dummy53,white,longShirts,img362,2019-09-29
362,my363,dummy89,yellow,longShirts,img363,2018-01-24
363,my364,dummy80,black,knit,img364,2020-02-24
364,my365,dummy58,black,jogger,img365,2018-01-25
365,my366,dummy86,white,longPants,img366,2021-09-19
366,my367,dummy20,black,jogger,img367,2020-05-21
367,my368,dummy89,yellow,slacks,img368,2021-10-31
368,my369,dummy44,blue,shortShirts,img369,2019-10-03
369,my370,dummy19,yellow,skirt,img370,2021-04-20
370,my371,dummy64,yellow,dressShirts,img371,2021-02-19
371,my372,dummy30,white,knit,img372,2018-04-08
372,my373,dummy48,white,sweatShirts,img373,2019-05-26
373,my374,dummy97,blue,knit,img374,2021-02-22
374,my375,dummy96,red,skirt,img375,2019-07-31
375,my376,dummy10,white,bottomEtc,img376,2020-07-21
376,my377,dummy63,black,topEtc,img377,2019-01-27
377,my378,dummy90,yellow,shortPants,img378,2019-06-28
378,my379,dummy74,black,jogger,img379,2020-02-10
379,my380,dummy22,red,hoodie,img380,2019-06-02
380,my381,dummy51,white,longPants,img381,2018-07-14
381,my382,dummy53,red,dressShirts,img382,2020-06-06
382,my383,dummy39,yellow,knit,img383,2018-06-21
383,my384,dummy84,black,dressShirts,img384,2020-03-13
384,my385,dummy44,black,topEtc,img385,2021-12-10
385,my386,dummy18,white,knit,img386,2020-06-22
386,my387,dummy94,red,skirt,img387,2018-10-29
387,my388,dummy23,yellow,jogger,img388,2021-06-24
388,my389,dummy69,blue,topEtc,img389,2019-10-19
389,my390,dummy73,yellow,topEtc,img390,2021-05-09
390,my391,dummy23,black,cotton,img391,2021-09-14
391,my392,dummy30,red,sweatShirts,img392,2021-07-23
392,my393,dummy18,white,skirt,img393,2020-06-29
393,my394,dummy15,blue,shortPants,img394,2021-01-20
394,my395,dummy32,white,hoodie,img395,2020-04-10
395,my396,dummy80,blue,topEtc,img396,2018-02-21
396,my397,dummy83,blue,shortPants,img397,2020-09-28
397,my398,dummy33,blue,cotton,img398,2018-04-15
398,my399,dummy84,black,skirt,img399,2018-08-25
399,my400,dummy31,black,jogger,img400,2021-01-01
400,my401,dummy60,yellow,slacks,img401,2020-08-15
401,my402,dummy11,red,cotton,img402,2020-08-14
402,my403,dummy46,white,shortShirts,img403,2021-09-02
403,my404,dummy15,blue,longPants,img404,2020-10-03
404,my405,dummy81,red,dressShirts,img405,2018-04-12
405,my406,dummy34,white,knit,img406,2021-01-31
406,my407,dummy46,yellow,shortShirts,img407,2020-05-09
407,my408,dummy84,yellow,jogger,img408,2020-10-05
408,my409,dummy40,yellow,sweatShirts,img409,2018-12-05
409,my410,dummy24,white,slacks,img410,2021-01-15
410,my411,dummy88,black,knit,img411,2019-05-07
411,my412,dummy61,blue,topEtc,img412,2018-07-27
412,my413,dummy90,red,jogger,img413,2020-10-01
413,my414,dummy3,red,knit,img414,2021-10-30
414,my415,dummy95,blue,jean,img415,2018-11-10
415,my416,dummy88,yellow,jogger,img416,2018-04-12
416,my417,dummy91,blue,jean,img417,2019-06-26
417,my418,dummy21,blue,skirt,img418,2020-08-05
418,my419,dummy18,black,bottomEtc,img419,2021-05-06
419,my420,dummy64,white,longShirts,img420,2018-08-08
420,my421,dummy9,red,shortShirts,img421,2018-12-07
421,my422,dummy9,blue,longShirts,img422,2020-12-29
422,my423,dummy8,yellow,sweatShirts,img423,2018-10-21
423,my424,dummy36,black,sweatShirts,img424,2019-01-31
424,my425,dummy97,blue,cotton,img425,2018-10-03
425,my426,dummy19,yellow,skirt,img426,2021-05-17
426,my427,dummy27,black,knit,img427,2020-08-10
427,my428,dummy78,yellow,shortPants,img428,2018-01-29
428,my429,dummy54,white,jogger,img429,2020-10-02
429,my430,dummy99,blue,longPants,img430,2021-10-04
430,my431,dummy73,blue,skirt,img431,2018-05-20
431,my432,dummy63,white,bottomEtc,img432,2020-08-08
432,my433,dummy54,red,skirt,img433,2021-08-24
433,my434,dummy91,white,cotton,img434,2021-04-13
434,my435,dummy7,red,jogger,img435,2020-08-17
435,my436,dummy60,red,bottomEtc,img436,2021-03-24
436,my437,dummy48,black,longShirts,img437,2020-07-19
437,my438,dummy78,black,longPants,img438,2020-08-28
438,my439,dummy44,yellow,longPants,img439,2018-05-05
439,my440,dummy89,blue,dressShirts,img440,2018-03-20
440,my441,dummy8,white,bottomEtc,img441,2018-03-06
441,my442,dummy72,black,skirt,img442,2021-04-25
442,my443,dummy7,white,skirt,img443,2018-06-12
443,my444,dummy92,black,shortPants,img444,2018-11-22
444,my445,dummy21,blue,jean,img445,2021-05-08
445,my446,dummy70,white,topEtc,img446,2020-07-05
446,my447,dummy46,red,longPants,img447,2018-11-10
447,my448,dummy72,blue,dressShirts,img448,2019-05-27
448,my449,dummy37,red,bottomEtc,img449,2020-03-25
449,my450,dummy57,yellow,sweatShirts,img450,2020-03-24
450,my451,dummy48,white,longPants,img451,2019-07-11
451,my452,dummy73,blue,shortShirts,img452,2020-07-04
452,my453,dummy57,yellow,shortShirts,img453,2020-05-01
453,my454,dummy53,black,dressShirts,img454,2018-02-23
454,my455,dummy22,yellow,knit,img455,2018-03-28
455,my456,dummy50,red,knit,img456,2021-03-08
456,my457,dummy87,yellow,jean,img457,2021-03-24
457,my458,dummy31,red,shortPants,img458,2019-08-21
458,my459,dummy14,red,slacks,img459,2020-09-22
459,my460,dummy26,red,shortShirts,img460,2021-02-24
460,my461,dummy44,red,skirt,img461,2019-01-15
461,my462,dummy31,white,jean,img462,2019-03-17
462,my463,dummy48,red,longPants,img463,2019-04-11
463,my464,dummy29,red,skirt,img464,2020-07-09
464,my465,dummy79,white,jogger,img465,2019-04-19
465,my466,dummy55,blue,bottomEtc,img466,2018-08-17
466,my467,dummy39,blue,topEtc,img467,2018-05-24
467,my468,dummy78,blue,jogger,img468,2018-11-24
468,my469,dummy13,black,skirt,img469,2020-08-05
469,my470,dummy21,red,bottomEtc,img470,2019-09-01
470,my471,dummy60,blue,sweatShirts,img471,2019-02-18
471,my472,dummy50,red,jean,img472,2021-07-09
472,my473,dummy48,black,topEtc,img473,2018-04-19
473,my474,dummy81,blue,cotton,img474,2018-08-02
474,my475,dummy71,red,slacks,img475,2018-11-12
475,my476,dummy66,blue,sweatShirts,img476,2019-06-09
476,my477,dummy93,red,dressShirts,img477,2021-12-21
477,my478,dummy87,black,knit,img478,2021-12-31
478,my479,dummy94,red,dressShirts,img479,2021-09-24
479,my480,dummy75,white,slacks,img480,2018-12-21
480,my481,dummy74,blue,longShirts,img481,2018-11-05
481,my482,dummy54,yellow,jogger,img482,2021-04-28
482,my483,dummy34,black,shortShirts,img483,2019-09-27
483,my484,dummy78,white,longPants,img484,2020-03-14
484,my485,dummy100,yellow,cotton,img485,2020-11-02
485,my486,dummy10,black,longShirts,img486,2021-11-17
486,my487,dummy85,red,longShirts,img487,2019-12-10
487,my488,dummy6,red,bottomEtc,img488,2019-04-24
488,my489,dummy8,blue,dressShirts,img489,2018-11-05
489,my490,dummy12,white,cotton,img490,2019-07-11
490,my491,dummy14,white,skirt,img491,2020-05-29
491,my492,dummy47,white,shortPants,img492,2018-01-23
492,my493,dummy94,yellow,jean,img493,2020-08-20
493,my494,dummy43,white,longPants,img494,2021-01-18
494,my495,dummy60,blue,bottomEtc,img495,2021-05-26
495,my496,dummy10,red,knit,img496,2019-04-27
496,my497,dummy11,blue,skirt,img497,2021-12-19
497,my498,dummy89,black,hoodie,img498,2019-08-06
498,my499,dummy30,yellow,slacks,img499,2020-08-06
499,my500,dummy30,white,bottomEtc,img500,2020-12-01
500,my501,dummy65,red,knit,img501,2021-06-28
501,my502,dummy55,red,shortPants,img502,2021-01-14
502,my503,dummy11,yellow,shortShirts,img503,2019-07-24
503,my504,dummy15,yellow,longPants,img504,2018-08-28
504,my505,dummy1,yellow,dressShirts,img505,2020-05-19
505,my506,dummy25,yellow,skirt,img506,2021-03-23
506,my507,dummy79,white,skirt,img507,2021-08-05
507,my508,dummy3,black,cotton,img508,2018-08-25
508,my509,dummy51,red,dressShirts,img509,2018-08-22
