,myclosetid,id,time,temp,hum,dust
196,197,99,2022-06-09 12:00,15.9,13.6,3.4
197,198,48,2022-06-11 17:00,22.1,23.9,33.5
198,199,69,2022-06-10 11:00,21,65.4,89.1
199,200,51,2022-06-10 14:00,29.6,51.4,85.6
200,201,94,2022-06-08 14:00,25.6,28.7,41.8
201,202,68,2022-06-08 22:00,25.1,44.1,69.9
202,203,4,2022-06-11 4:00,21.8,20.8,68.8
203,204,92,2022-06-10 17:00,25.6,19.8,93
204,205,28,2022-06-11 9:00,25.3,77.1,67.5
205,206,26,2022-06-10 22:00,17.7,27.7,108.3
206,207,33,2022-06-09 10:00,19.7,31.6,93
207,208,75,2022-06-12 0:00,19.2,64.3,75.2
208,209,17,2022-06-08 5:00,18.1,74.4,54.9
209,210,76,2022-06-11 11:00,15.9,21.5,19.3
210,211,34,2022-06-11 5:00,25.9,12.7,57.9
211,212,3,2022-06-11 17:00,15.3,17.5,49.5
212,213,65,2022-06-08 14:00,27.1,30.5,49.8
213,214,73,2022-06-10 8:00,26.6,15.1,57.5
214,215,57,2022-06-10 14:00,25,30.1,61.7
215,216,16,2022-06-09 3:00,25,40.7,10.5
216,217,72,2022-06-10 8:00,17.3,57.6,53.7
217,218,5,2022-06-09 2:00,24.8,29.6,73.5
218,219,35,2022-06-11 12:00,15.2,25.7,137.3
219,220,60,2022-06-11 7:00,25.5,58.5,132.6
220,221,28,2022-06-08 4:00,23.7,35.4,5.1
221,222,38,2022-06-08 8:00,19.4,13.8,92.7
222,223,65,2022-06-08 16:00,17.2,64.6,14.6
223,224,76,2022-06-09 10:00,27,64.7,70
224,225,9,2022-06-08 6:00,25.2,77.9,149.5
225,226,57,2022-06-08 5:00,27.2,73.9,55.1
226,227,13,2022-06-09 3:00,19,18.5,75.5
227,228,23,2022-06-11 1:00,15.3,26.8,99.7
228,229,81,2022-06-09 23:00,21.5,70.4,117.8
229,230,39,2022-06-08 11:00,24.2,68.3,120.8
230,231,45,2022-06-09 15:00,23,52.6,61.9
231,232,22,2022-06-11 3:00,26.3,77.7,86.3
232,233,31,2022-06-09 22:00,24.3,77.5,58.9
233,234,26,2022-06-10 23:00,26.6,53.9,29.6
234,235,38,2022-06-09 23:00,17.1,73,31
235,236,65,2022-06-10 18:00,16.2,69.3,19.2
236,237,11,2022-06-10 7:00,18.3,76.1,62.4
237,238,36,2022-06-08 1:00,22.3,13,114.6
238,239,58,2022-06-09 8:00,28,58.5,8.2
239,240,40,2022-06-10 10:00,19.2,36.3,101.2
240,241,36,2022-06-11 10:00,21.1,25.5,141.4
241,242,43,2022-06-08 7:00,19.4,57.8,103.8
242,243,25,2022-06-11 5:00,25.4,72,101
243,244,79,2022-06-11 4:00,29.2,53.3,46.8
244,245,70,2022-06-11 8:00,17.7,21.6,136.2
245,246,47,2022-06-10 18:00,28,66.7,55.3
246,247,20,2022-06-08 0:00,24.7,16.3,129.2
247,248,88,2022-06-08 6:00,16.9,58.5,17.3
248,249,41,2022-06-09 12:00,18.7,20.8,11.2
249,250,28,2022-06-10 1:00,16.6,48.6,45.7
250,251,82,2022-06-08 21:00,21.5,78.7,45
251,252,5,2022-06-10 3:00,24.7,62.3,123.8
252,253,23,2022-06-11 12:00,27.4,71.4,96.3
253,254,30,2022-06-10 3:00,20.1,48.5,41.2
254,255,9,2022-06-08 20:00,26.1,58.1,54.7
255,256,60,2022-06-10 23:00,17.7,56.3,82
256,257,98,2022-06-09 1:00,20.8,77.7,62.1
257,258,14,2022-06-10 3:00,25.8,12,103.5
258,259,5,2022-06-11 15:00,16.9,33.4,14.2
259,260,73,2022-06-09 1:00,18,45.4,126.1
260,261,19,2022-06-09 11:00,25.6,40.6,104.9
261,262,62,2022-06-09 1:00,26,26.2,143.1
262,263,15,2022-06-11 21:00,21.9,40.8,134
263,264,53,2022-06-10 0:00,23.9,17.4,36.4
264,265,59,2022-06-10 22:00,25.6,31.7,59.8
265,266,52,2022-06-11 16:00,18.6,74.7,9.2
266,267,92,2022-06-08 15:00,26.2,52.5,1.2
267,268,12,2022-06-09 23:00,22.4,79.1,144.6
268,269,42,2022-06-11 6:00,26.2,44.2,40.7
269,270,47,2022-06-09 20:00,24.6,26.8,92.1
270,271,46,2022-06-10 10:00,23,73.2,51.7
271,272,95,2022-06-09 19:00,23.5,49.4,49
272,273,75,2022-06-09 21:00,17.8,45.1,118
273,274,97,2022-06-09 13:00,15.8,32.1,111.2
274,275,51,2022-06-08 17:00,26,16.9,11.4
275,276,93,2022-06-10 1:00,24.7,56.4,81.6
276,277,97,2022-06-11 10:00,26.4,58.4,148.4
277,278,93,2022-06-09 1:00,25.1,26.5,95.2
278,279,12,2022-06-10 17:00,24.7,69.4,109.1
279,280,23,2022-06-09 6:00,23.7,38.3,131.7
280,281,45,2022-06-08 7:00,27.6,16.9,7.8
281,282,24,2022-06-08 15:00,21.9,22.6,74.3
282,283,98,2022-06-08 8:00,21.5,59.3,41.9
283,284,88,2022-06-08 8:00,30,17.6,114.6
284,285,19,2022-06-11 23:00,19.9,66.7,5.2
285,286,17,2022-06-08 23:00,28.1,59,45
286,287,12,2022-06-08 0:00,21.5,64.5,139.1
287,288,65,2022-06-11 17:00,22.2,23.4,113
288,289,97,2022-06-09 22:00,25.4,70,19.7
289,290,42,2022-06-09 1:00,24,72.9,76
290,291,82,2022-06-11 5:00,16.2,55.6,8.4
291,292,52,2022-06-09 15:00,29.1,68.3,135.4
292,293,43,2022-06-11 18:00,15.6,53,6.4
293,294,95,2022-06-09 22:00,23.4,22.6,128.4
294,295,53,2022-06-08 0:00,27,79.5,59.9
295,296,34,2022-06-10 6:00,29.4,30.5,96.6
296,297,78,2022-06-08 4:00,19.5,56.6,107
297,298,72,2022-06-08 14:00,16.9,69.2,95.7
298,299,89,2022-06-08 22:00,26.7,70,98.4
299,300,75,2022-06-08 7:00,22.7,47,133.4
300,301,70,2022-06-09 8:00,23.7,17.4,28.7
301,302,45,2022-06-11 12:00,28.5,29.5,141.2
302,303,94,2022-06-09 20:00,17.5,45.9,74.6
303,304,92,2022-06-10 6:00,18.4,29.9,62.9
304,305,57,2022-06-10 6:00,28.9,31.8,52.6
305,306,74,2022-06-09 3:00,24.2,44.4,128.7
306,307,45,2022-06-08 5:00,19.8,16.2,90.1
307,308,58,2022-06-09 17:00,17,37.3,10.5
308,309,15,2022-06-11 4:00,16.4,59.6,118.6
309,310,73,2022-06-10 10:00,17.7,37.6,1.8
310,311,41,2022-06-09 13:00,17.8,26.2,90.3
311,312,68,2022-06-10 22:00,29.3,14.7,27.7
312,313,22,2022-06-09 5:00,22.9,24.9,137.2
313,314,7,2022-06-10 9:00,29.6,56.9,44.5
314,315,66,2022-06-11 7:00,16.4,33.9,144.8
315,316,41,2022-06-08 16:00,15.1,18.9,129.6
316,317,28,2022-06-08 23:00,22.5,44.5,105.1
317,318,77,2022-06-10 11:00,26.4,19,95.6
318,319,24,2022-06-09 6:00,23.6,16.1,69.5
319,320,14,2022-06-11 3:00,28.7,51.7,43.1
320,321,63,2022-06-09 22:00,21.6,75.4,67.4
321,322,38,2022-06-10 1:00,16.3,53.8,34.8
322,323,1,2022-06-09 12:00,18.5,48.1,1.4
323,324,76,2022-06-10 12:00,21.8,14.6,133.3
324,325,51,2022-06-10 8:00,16.5,53,1.8
325,326,58,2022-06-09 12:00,25.5,20,123.2
326,327,36,2022-06-08 23:00,27.2,36.3,149.2
327,328,84,2022-06-08 4:00,24.9,64.2,5.7
328,329,20,2022-06-08 16:00,24,27.5,73.9
329,330,90,2022-06-09 22:00,20.5,37,47
330,331,99,2022-06-10 6:00,19.2,47.8,49.7
331,332,99,2022-06-09 7:00,29.1,58,122.8
332,333,29,2022-06-09 16:00,19,12.5,70.8
333,334,98,2022-06-11 21:00,27.7,27.5,35.8
334,335,9,2022-06-11 12:00,23,25.6,41.5
335,336,38,2022-06-09 23:00,17.4,10.2,56.4
336,337,77,2022-06-08 10:00,28.9,58.3,37.9
337,338,3,2022-06-08 0:00,19.3,68.9,66.9
338,339,70,2022-06-08 7:00,19.2,62.3,2.4
339,340,63,2022-06-09 22:00,28,14.3,72.5
340,341,91,2022-06-09 18:00,25.6,15.7,49.3
341,342,87,2022-06-11 12:00,18.3,28.6,34.8
342,343,97,2022-06-09 1:00,27.5,22.1,120.6
343,344,66,2022-06-10 2:00,22.2,11.5,104.6
344,345,99,2022-06-09 23:00,15,14.9,98.1
345,346,31,2022-06-11 1:00,20.1,50.6,143.1
346,347,53,2022-06-09 0:00,16.5,79.8,94.5
347,348,90,2022-06-09 2:00,28.2,59.4,92.3
348,349,15,2022-06-10 1:00,25.5,42.5,88.5
349,350,87,2022-06-10 8:00,20,24.7,81.1
350,351,84,2022-06-08 2:00,17.6,47.1,132.8
351,352,69,2022-06-09 8:00,23,22.3,112.8
352,353,100,2022-06-10 16:00,24.6,12.7,15.2
353,354,89,2022-06-11 11:00,18.1,16,85.4
354,355,23,2022-06-10 23:00,26.8,62.7,71.4
355,356,60,2022-06-09 9:00,19,23.3,29.5
356,357,45,2022-06-09 17:00,16.8,69.7,83.9
357,358,47,2022-06-10 1:00,21.8,72.2,59.6
358,359,78,2022-06-11 21:00,19.8,50.9,78.6
359,360,1,2022-06-11 7:00,22.2,77.1,34.3
360,361,47,2022-06-09 1:00,20.3,24.1,66.9
361,362,86,2022-06-09 3:00,23,47.6,122.6
362,363,44,2022-06-08 0:00,15.7,14,32.1
363,364,62,2022-06-09 5:00,21.6,60.1,139.1
364,365,84,2022-06-09 7:00,27.6,60.2,145.3
365,366,71,2022-06-11 14:00,15.4,67.4,113.2
366,367,38,2022-06-09 18:00,26,53.7,94
367,368,42,2022-06-09 1:00,15.4,18,127.8
368,369,51,2022-06-10 3:00,18.6,30.6,120.4
369,370,72,2022-06-11 21:00,23.3,41.4,126.7
370,371,2,2022-06-11 10:00,20.8,75.6,103.3
371,372,94,2022-06-10 9:00,18.6,52,127.5
372,373,97,2022-06-08 2:00,21,69.9,139.1
373,374,35,2022-06-10 13:00,24.7,49,65.1
374,375,57,2022-06-09 1:00,29.6,48.7,29.5
375,376,28,2022-06-10 20:00,28.7,69.2,89
376,377,18,2022-06-09 23:00,17.5,39.2,88.9
377,378,36,2022-06-11 22:00,22.2,44.8,111
378,379,60,2022-06-08 3:00,16.7,32.6,63.7
379,380,5,2022-06-11 0:00,22.4,10.9,137
380,381,20,2022-06-10 10:00,17.7,47,96
381,382,16,2022-06-08 4:00,18.2,52,28.5
382,383,25,2022-06-09 5:00,19.9,70.4,45.1
383,384,76,2022-06-08 3:00,24.8,73,36.8
384,385,42,2022-06-11 7:00,20.4,13.3,49.7
385,386,74,2022-06-09 22:00,18.9,56.8,82.8
386,387,87,2022-06-08 23:00,23.5,44.9,79.7
387,388,41,2022-06-11 10:00,23.5,72.9,123.7
388,389,58,2022-06-08 23:00,15.8,74.5,78.5
389,390,67,2022-06-11 15:00,29.4,58.5,12.8
390,391,33,2022-06-10 7:00,17.9,15.7,30.3
391,392,60,2022-06-11 6:00,21.2,36.9,36.3
392,393,8,2022-06-10 7:00,15.9,36.7,58
393,394,5,2022-06-11 23:00,27.9,70.8,38
394,395,9,2022-06-11 21:00,24.6,62.9,56.1
395,396,97,2022-06-11 20:00,19.9,29.6,99.1
396,397,56,2022-06-11 20:00,29.8,73.7,0.2
397,398,69,2022-06-09 18:00,15.3,25.5,65.8
398,399,59,2022-06-11 9:00,19.3,79.7,18.3
399,400,68,2022-06-10 17:00,16.7,45.9,59.7
400,401,46,2022-06-11 15:00,17.3,79.9,58.7
401,402,33,2022-06-10 8:00,29.9,13.1,27.5
402,403,53,2022-06-08 9:00,21.3,33.8,9
403,404,53,2022-06-08 17:00,25.6,30.3,119.8
404,405,91,2022-06-08 21:00,20.3,47.6,41.7
405,406,58,2022-06-09 15:00,21,33.3,149.4
406,407,26,2022-06-10 13:00,21.2,17.2,116.1
407,408,88,2022-06-11 0:00,28.7,49.3,77.8
408,409,9,2022-06-10 7:00,26.9,21,59.2
409,410,47,2022-06-09 17:00,26.1,75.8,56.5
410,411,61,2022-06-08 22:00,27.4,29.8,0.9
411,412,80,2022-06-09 13:00,24,75,40.9
412,413,42,2022-06-08 21:00,25.4,46.5,10.7
413,414,4,2022-06-09 0:00,24.6,48.7,115.8
414,415,46,2022-06-11 9:00,25.1,12.8,112.5
415,416,18,2022-06-10 17:00,22.9,29.3,141.8
416,417,83,2022-06-08 12:00,19.4,10.5,126.8
417,418,75,2022-06-09 8:00,23.3,55.1,65.6
418,419,48,2022-06-08 21:00,23.2,29.8,124.2
419,420,86,2022-06-09 11:00,22.6,41.8,15.9
420,421,58,2022-06-08 10:00,29.8,42.1,145
421,422,42,2022-06-11 14:00,24.1,76.5,49.7
422,423,81,2022-06-10 23:00,15.6,61.6,143.1
423,424,82,2022-06-11 0:00,19.5,25.5,140.8
424,425,88,2022-06-09 10:00,23.9,30.6,138.2
425,426,24,2022-06-11 11:00,26,22.9,18.2
426,427,94,2022-06-11 2:00,29.7,68.5,112.8
427,428,61,2022-06-10 19:00,30,40,32
428,429,24,2022-06-10 7:00,22.4,75.4,142
429,430,55,2022-06-09 13:00,21.4,58.5,39.1
430,431,47,2022-06-08 7:00,15,31.6,149.3
431,432,36,2022-06-10 17:00,26.6,59.5,138.2
432,433,73,2022-06-08 8:00,19.6,62.8,88.3
433,434,19,2022-06-11 18:00,29.8,55.2,99.4
434,435,65,2022-06-08 1:00,17.1,17.1,64.6
435,436,44,2022-06-11 22:00,20.3,61.2,78.6
436,437,83,2022-06-08 12:00,21.3,34.2,29.1
437,438,95,2022-06-08 3:00,25.9,66.1,119.2
438,439,87,2022-06-10 11:00,24.2,65,45.1
439,440,26,2022-06-11 14:00,28.8,24.8,50.8
440,441,29,2022-06-10 9:00,29.3,11.7,60.9
441,442,67,2022-06-09 20:00,17,75.4,33.5
442,443,12,2022-06-11 7:00,29.6,50.6,79.8
443,444,42,2022-06-09 22:00,24.9,17.2,133
444,445,58,2022-06-11 5:00,27.2,58.5,70.2
445,446,26,2022-06-11 14:00,23.6,38.4,89.8
446,447,64,2022-06-08 22:00,27.1,57.6,19.5
447,448,66,2022-06-10 6:00,29.3,41.6,39.5
448,449,42,2022-06-09 7:00,25.3,40.1,127.1
449,450,50,2022-06-11 22:00,22,78.3,103.8
450,451,60,2022-06-09 4:00,23.5,55.6,64.5
451,452,27,2022-06-11 6:00,26.2,47.1,72.1
452,453,68,2022-06-10 14:00,18,67.5,130.5
453,454,57,2022-06-08 5:00,16.8,71.2,46.2
454,455,42,2022-06-10 2:00,27.4,74.1,0.7
455,456,93,2022-06-09 17:00,27.7,59,93.2
456,457,58,2022-06-10 2:00,29.5,23.3,76.7
457,458,96,2022-06-08 1:00,20.2,79.1,35.6
458,459,95,2022-06-08 1:00,27.8,56.6,71.3
459,460,79,2022-06-08 18:00,19.1,20.9,147.4
460,461,11,2022-06-11 1:00,23.7,28.3,75.5
461,462,88,2022-06-08 14:00,17.8,44.7,123.6
462,463,57,2022-06-11 12:00,19.3,61.2,135.1
463,464,76,2022-06-11 8:00,22,74.7,122.8
464,465,23,2022-06-10 19:00,17.1,76.7,104.1
465,466,82,2022-06-08 23:00,15.5,34.9,113.8
466,467,43,2022-06-09 15:00,22.4,25.7,35.9
467,468,91,2022-06-11 11:00,23.3,25.1,15.2
468,469,44,2022-06-09 22:00,20.9,63.3,131.7
469,470,23,2022-06-10 3:00,22.8,53.8,3.6
470,471,49,2022-06-09 0:00,28.7,71.7,85.1
471,472,60,2022-06-11 9:00,24.4,22.5,37.9
472,473,42,2022-06-08 18:00,27.2,17.7,87.7
473,474,90,2022-06-11 2:00,25.5,28.4,31.4
474,475,90,2022-06-08 8:00,22.1,61.1,61.6
475,476,60,2022-06-08 4:00,24.4,11.5,22.2
476,477,62,2022-06-09 6:00,19.2,41.4,115.3
477,478,78,2022-06-09 12:00,17.6,28.2,113.5
478,479,32,2022-06-09 17:00,21.9,32.2,107.3
479,480,65,2022-06-09 7:00,18.5,16.8,71
480,481,57,2022-06-09 10:00,27.9,57.6,127.7
481,482,39,2022-06-09 2:00,19.3,35.3,116.3
482,483,31,2022-06-08 14:00,22.9,75.5,15.8
483,484,65,2022-06-11 1:00,15.9,18.7,48.5
484,485,68,2022-06-10 0:00,23.8,39,107.7
485,486,32,2022-06-09 23:00,26.3,14.7,145.3
486,487,83,2022-06-08 1:00,15.8,27.4,123
487,488,94,2022-06-08 16:00,16.4,74.2,76.3
488,489,13,2022-06-08 11:00,25.2,39.6,1.3
489,490,52,2022-06-11 14:00,18.2,53.9,28.6
490,491,70,2022-06-10 8:00,24.3,69.9,62.2
